,City,Longitude,Latitude,Temperature,Humidity,Wind Speed,Cloud Cover %,Country,Date
339,Vilyuysk,121.62,63.76,8.996000000000048,92,3.59,60,RU,1587251656
340,Souillac,57.52,-20.52,77.0,83,5.1,40,MU,1587251656
341,Suamico,-88.04,44.63,62.6,33,9.3,20,US,1587251656
342,Talnakh,88.4,69.49,35.6,80,15.0,100,RU,1587251656
343,Limbang,115.0,4.75,78.00800000000001,100,2.1,75,MY,1587251656
344,Leningradskiy,178.42,69.38,5.612000000000055,88,3.91,4,RU,1587251657
345,Palekastro,26.25,35.2,57.00200000000008,83,1.79,0,GR,1587251657
346,Bulgan,103.53,48.81,32.86400000000003,47,1.46,30,MN,1587251657
347,Petropavlovsk-Kamchatskiy,158.65,53.05,44.6,39,3.0,5,RU,1587251657
348,Neyshabur,58.8,36.21,53.024000000000015,39,2.37,38,IR,1587251657
